%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,ethVlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcManuf_dstManuf,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipTOS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPdssF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStates,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF
A,1,0x0400000000004000,1527823211.879205,1527823212.06948,0.190275,1,3,eth:ipv4:tcp,e0:76:d0:3f:00:ae,14:cc:20:51:33:ea,0x0800,,192.168.1.216,07,Private network,43018,52.193.63.244,jp,Amazon Data Services Japan,443,6,0x00,1,e0:76:d0:3f:00:ae_14:cc:20:51:33:ea_3,AMPAKTec_Tp-LinkT,443,https,3,3,31,31,0,31,10.33333,10.75527,0,0.189012,0.063425,0.0725086,15.76665,162.9221,0.0,0.0,0x0044,1,13709,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,581519263,2,31,0,0,0,0,15544,10880.8,0,15544,1,0,0,0.3333333,0x1d,0x0001,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,0.005029,0.005029,0.001676333,0.001935663,0.0,-1.0,0x13,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0.0,0,1,1,4,4,4.0
B,1,0x0400000000004001,1527823212.064264,1527823212.064451,0.000187,1,3,eth:ipv4:tcp,14:cc:20:51:33:ea,e0:76:d0:3f:00:ae,0x0800,,52.193.63.244,jp,Amazon Data Services Japan,443,192.168.1.216,07,Private network,43018,6,0x00,1,14:cc:20:51:33:ea_e0:76:d0:3f:00:ae_3,Tp-LinkT_AMPAKTec,443,https,3,3,31,31,0,31,10.33333,10.75527,0,0.000108,6.233333e-05,3.26281e-05,16042.78,165775.4,0.0,0.0,0x0044,1,1,36,36,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1494661850,3,31,0,1,1,1,31088,31088.0,31088,31088,0,0,0,0.0,0x1c,0x0004,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,0.183796,0.183983,0.1838943,5.995113e-05,0.1855707,0.001936591,0x43,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0.0,0,1,1,3,3,3.0
A,2,0x0400000000004000,1527823211.880552,1527823222.077413,10.196861,1,3,eth:ipv4:tcp,e0:76:d0:3f:00:ae,14:cc:20:51:33:ea,0x0800,,192.168.1.216,07,Private network,43020,52.193.63.244,jp,Amazon Data Services Japan,443,6,0x00,1,e0:76:d0:3f:00:ae_14:cc:20:51:33:ea_9,AMPAKTec_Tp-LinkT,443,https,9,8,1042,173,0,516,115.7778,169.6503,0,9.267991,1.132985,2.666071,0.8826246,102.1883,0.05882353,0.7152264,0x0054,1,58595,64,64,0,0x00,0x0042,0,0x00_0x00000000,0_0,0x00000000_0x00000000,400626623,5,1041,2,1,141,0,467200,344631.7,0,497408,1,1,2,0.1111111,0x1f,0x0001,1,5,0x0000011e,1460,32,0x0000,0x00,0,0x00,3262110,0,0.004,13048.44062,1527810163.439933,0.0,0.001245,9.086734,2.036228,3.506432,0.18439,-1.0,0x12,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0.0,0,3,1,4,6,2.0
B,2,0x0400000000004001,1527823212.064942,1527823222.072526,10.007584,1,3,eth:ipv4:tcp,14:cc:20:51:33:ea,e0:76:d0:3f:00:ae,0x0800,,52.193.63.244,jp,Amazon Data Services Japan,443,192.168.1.216,07,Private network,43020,6,0x00,1,14:cc:20:51:33:ea_e0:76:d0:3f:00:ae_8,Tp-LinkT_AMPAKTec,443,https,8,9,173,1042,0,142,21.625,38.8842,0,9.267609,1.250948,2.770724,0.7993938,17.28689,-0.05882353,-0.7152264,0x00c4,1,35703,35,35,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1712337998,8,172,0,5,1043,1,29200,30763.41,29200,31088,0,2,1,0.0,0x1e,0x0006,1,1,0x00000004,1460,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.18439,0.180875,0.220122,0.1884231,0.01119565,2.224651,3.50645,0x42,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0.0,0,1,3,3,5,5.0
A,7,0x0400000000004000,1527823221.891066,1527823232.087917,10.196851,1,3,eth:ipv4:tcp,e0:76:d0:3f:00:ae,14:cc:20:51:33:ea,0x0800,,192.168.1.216,07,Private network,43021,52.193.63.244,jp,Amazon Data Services Japan,443,6,0x00,1,e0:76:d0:3f:00:ae_14:cc:20:51:33:ea_9,AMPAKTec_Tp-LinkT,443,https,9,8,1042,173,0,516,115.7778,169.6503,0,9.384966,1.132983,2.703543,0.8826255,102.1884,0.05882353,0.7152264,0x0054,1,39965,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1160107488,5,1041,2,1,141,0,467200,344631.7,0,497408,1,1,2,0.1111111,0x1f,0x0001,1,5,0x0000011e,1460,32,0x0000,0x00,0,0x00,3263111,0,0.004,13052.44462,1527810169.446447,0.0,0.004369,9.202896,2.050544,3.55689,0.182676,-1.0,0x12,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0.0,0,5,1,2,8,1.6
B,7,0x0400000000004001,1527823222.073742,1527823232.083548,10.009806,1,3,eth:ipv4:tcp,14:cc:20:51:33:ea,e0:76:d0:3f:00:ae,0x0800,,52.193.63.244,jp,Amazon Data Services Japan,443,192.168.1.216,07,Private network,43021,6,0x00,1,14:cc:20:51:33:ea_e0:76:d0:3f:00:ae_8,Tp-LinkT_AMPAKTec,443,https,8,9,173,1042,0,142,21.625,38.8842,0,9.384607,1.251226,2.810394,0.7992163,17.28305,-0.05882353,-0.7152264,0x00c4,1,27484,38,38,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,802726817,8,172,0,5,1043,1,29200,30763.41,29200,31088,0,2,1,0.0,0x1e,0x0006,1,1,0x00000004,1460,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.182676,0.181711,0.222377,0.1876253,0.01147952,2.238169,3.556908,0x42,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0.0,0,1,5,1,7,7.0
A,19,0x0400000000004000,1527823232.568424,1527823232.569101,0.000677,1,3,eth:ipv4:tcp,e0:76:d0:3f:00:ae,14:cc:20:51:33:ea,0x0800,,192.168.1.216,07,Private network,35894,35.160.234.140,us,Amazon Technologies Inc,443,6,0x00,1,e0:76:d0:3f:00:ae_14:cc:20:51:33:ea_2,AMPAKTec_Tp-LinkT,443,https,2,0,31,0,0,31,15.5,10.96016,0,0.000677,0.0003385,0.0002393556,2954.21,45790.25,1.0,1.0,0x0050,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1311193900,2,31,0,0,0,0,1321,1321.0,1321,1321,0,0,0,0.0,0x1c,0x0004,2,6,0x00000102,0,1,0x0000,0x00,0,0x00,3264179,1044536067,0.004,13056.71662,1527810175.852481,0.0,65535.0,0.0,0.0,0.0,0.0,-1.0,0x43,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0.0,0,6,1,2,9,1.5
A,18,0x0400000000004000,1527823231.922296,1527823232.752968,0.830672,1,3,eth:ipv4:tcp,e0:76:d0:3f:00:ae,14:cc:20:51:33:ea,0x0800,,192.168.1.216,07,Private network,46680,52.193.63.245,jp,Amazon Data Services Japan,443,6,0x00,1,e0:76:d0:3f:00:ae_14:cc:20:51:33:ea_11,AMPAKTec_Tp-LinkT,443,https,11,7,673,4521,0,516,61.18182,124.6186,0,0.191992,0.07551564,0.07513815,13.24229,810.1874,0.2222222,-0.7408549,0x00d4,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2696967929,8,672,2,5,4521,0,467200,794450.1,467200,840960,0,4,1,0.0,0x1b,0x0001,1,5,0x0000011e,1460,32,0x0000,0x00,0,0x00,3264115,0,0.004,13056.46062,1527810175.461676,0.0,0.001055,0.052375,0.01366345,0.01334012,0.179566,-1.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0.0,0,7,1,2,10,1.428571
B,18,0x0400000000004001,1527823232.101862,1527823232.751913,0.650051,1,3,eth:ipv4:tcp,14:cc:20:51:33:ea,e0:76:d0:3f:00:ae,0x0800,,52.193.63.245,jp,Amazon Data Services Japan,443,192.168.1.216,07,Private network,46680,6,0x00,1,14:cc:20:51:33:ea_e0:76:d0:3f:00:ae_7,Tp-LinkT_AMPAKTec,443,https,7,11,4521,673,0,1460,645.8571,587.0327,0,0.232385,0.09286443,0.09143435,10.76839,6954.839,-0.2222222,0.7408549,0x00c4,1,42425,36,36,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,205764465,7,4520,0,3,673,1,29200,29920.0,29200,30016,0,1,1,0.0,0x1b,0x0003,1,1,0x00000004,1460,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.179566,0.179566,0.190937,0.1828663,0.003335577,0.1965297,0.01375081,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0.0,0,1,7,1,9,9.0
A,22,0x0400000000004000,1527823232.569203,1527823243.020915,10.451712,1,3,eth:ipv4:tcp,e0:76:d0:3f:00:ae,14:cc:20:51:33:ea,0x0800,,192.168.1.216,07,Private network,43653,52.193.63.241,jp,Amazon Data Services Japan,443,6,0x00,1,e0:76:d0:3f:00:ae_14:cc:20:51:33:ea_13,AMPAKTec_Tp-LinkT,443,https,13,11,909,4552,0,411,69.92308,117.5612,0,9.321546,0.8039778,2.346134,1.243815,86.9714,0.08333334,-0.6670939,0x0054,1,23562,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1001544777,9,908,2,4,4520,0,467200,565882.1,0,840960,1,4,2,0.07692308,0x1f,0x0001,1,5,0x0000011e,1460,32,0x0000,0x00,0,0x00,3264179,0,0.004,13056.71662,1527810175.852583,0.0,0.001656,9.147329,1.42467,3.145804,0.175737,-1.0,0x12,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0.0,0,6,1,4,10,1.666667
